"","data","valor","datas"
"1","01/01/2003 12:00:00",117.35,"01/01/2003"
"2","01/04/2003 12:00:00",116.79,"01/04/2003"
"3","01/07/2003 12:00:00",117.75,"01/07/2003"
"4","01/10/2003 12:00:00",118.85,"01/10/2003"
"5","01/01/2004 12:00:00",120.54,"01/01/2004"
"6","01/04/2004 12:00:00",122.98,"01/04/2004"
"7","01/07/2004 12:00:00",124.21,"01/07/2004"
"8","01/10/2004 12:00:00",126.01,"01/10/2004"
"9","01/01/2005 12:00:00",126.95,"01/01/2005"
"10","01/04/2005 12:00:00",128.16,"01/04/2005"
"11","01/07/2005 12:00:00",128.3,"01/07/2005"
"12","01/10/2005 12:00:00",130.06,"01/10/2005"
"13","01/01/2006 12:00:00",131.56,"01/01/2006"
"14","01/04/2006 12:00:00",132.68,"01/04/2006"
"15","01/07/2006 12:00:00",134.87,"01/07/2006"
"16","01/10/2006 12:00:00",135.85,"01/10/2006"
"17","01/01/2007 12:00:00",139.34,"01/01/2007"
"18","01/04/2007 12:00:00",141.02,"01/04/2007"
"19","01/07/2007 12:00:00",142.49,"01/07/2007"
"20","01/10/2007 12:00:00",144.7,"01/10/2007"
"21","01/01/2008 12:00:00",146.51,"01/01/2008"
"22","01/04/2008 12:00:00",149.36,"01/04/2008"
"23","01/07/2008 12:00:00",151.36,"01/07/2008"
"24","01/10/2008 12:00:00",147.06,"01/10/2008"
"25","01/01/2009 12:00:00",148.94,"01/01/2009"
"26","01/04/2009 12:00:00",150.36,"01/04/2009"
"27","01/07/2009 12:00:00",153.2,"01/07/2009"
"28","01/10/2009 12:00:00",155.54,"01/10/2009"
"29","01/01/2010 12:00:00",157.53,"01/01/2010"
"30","01/04/2010 12:00:00",159.03,"01/04/2010"
"31","01/07/2010 12:00:00",161.91,"01/07/2010"
"32","01/10/2010 12:00:00",162.5,"01/10/2010"
"33","01/01/2011 12:00:00",164.13,"01/01/2011"
"34","01/04/2011 12:00:00",164.84,"01/04/2011"
"35","01/07/2011 12:00:00",164.92,"01/07/2011"
"36","01/10/2011 12:00:00",165.55,"01/10/2011"
"37","01/01/2012 12:00:00",165.81,"01/01/2012"
"38","01/04/2012 12:00:00",167.42,"01/04/2012"
"39","01/07/2012 12:00:00",168.08,"01/07/2012"
"40","01/10/2012 12:00:00",169.72,"01/10/2012"
"41","01/01/2013 12:00:00",169.4,"01/01/2013"
"42","01/04/2013 12:00:00",171.67,"01/04/2013"
"43","01/07/2013 12:00:00",171.9,"01/07/2013"
"44","01/10/2013 12:00:00",172.79,"01/10/2013"
"45","01/01/2014 12:00:00",172.84,"01/01/2014"
"46","01/04/2014 12:00:00",171.98,"01/04/2014"
"47","01/07/2014 12:00:00",172.8,"01/07/2014"
