"","data","valor","datas"
"95","01/11/2006 12:00:00",1412.47,"01/11/2006"
"96","01/12/2006 12:00:00",1242.39,"01/12/2006"
"97","01/01/2007 12:00:00",945.28,"01/01/2007"
"98","01/02/2007 12:00:00",1068.08,"01/02/2007"
"99","01/03/2007 12:00:00",934.13,"01/03/2007"
"100","01/04/2007 12:00:00",1101.72,"01/04/2007"
"101","01/05/2007 12:00:00",1033.98,"01/05/2007"
"102","01/06/2007 12:00:00",763.93,"01/06/2007"
"103","01/07/2007 12:00:00",889.62,"01/07/2007"
"104","01/08/2007 12:00:00",896.13,"01/08/2007"
"105","01/09/2007 12:00:00",963.83,"01/09/2007"
"106","01/10/2007 12:00:00",996.59,"01/10/2007"
"107","01/11/2007 12:00:00",1068.18,"01/11/2007"
"108","01/12/2007 12:00:00",1142.89,"01/12/2007"
"109","01/01/2008 12:00:00",826.45,"01/01/2008"
"110","01/02/2008 12:00:00",761.58,"01/02/2008"
"111","01/03/2008 12:00:00",707.29,"01/03/2008"
"112","01/04/2008 12:00:00",715.43,"01/04/2008"
"113","01/05/2008 12:00:00",608.79,"01/05/2008"
"114","01/06/2008 12:00:00",639.29,"01/06/2008"
"115","01/07/2008 12:00:00",617.95,"01/07/2008"
"116","01/08/2008 12:00:00",644.76,"01/08/2008"
"117","01/09/2008 12:00:00",809.46,"01/09/2008"
"118","01/10/2008 12:00:00",957.46,"01/10/2008"
"119","01/11/2008 12:00:00",1045.98,"01/11/2008"
"120","01/12/2008 12:00:00",1140.08,"01/12/2008"
"121","01/01/2009 12:00:00",907.43,"01/01/2009"
"122","01/02/2009 12:00:00",860.02,"01/02/2009"
"123","01/03/2009 12:00:00",827.14,"01/03/2009"
"124","01/04/2009 12:00:00",835.93,"01/04/2009"
"125","01/05/2009 12:00:00",723.3,"01/05/2009"
"126","01/06/2009 12:00:00",724,"01/06/2009"
"127","01/07/2009 12:00:00",669.23,"01/07/2009"
"128","01/08/2009 12:00:00",300.08,"01/08/2009"
"129","01/09/2009 12:00:00",731.24,"01/09/2009"
"130","01/10/2009 12:00:00",691.92,"01/10/2009"
"131","01/11/2009 12:00:00",713.61,"01/11/2009"
"132","01/12/2009 12:00:00",611.46,"01/12/2009"
